fold,object_id,raw_pair_id,label,stage1_withGS_probability
0,11,GSU_obj_11_candidate_000425,1,0.9998995065689087
0,39,expandedNMS_obj_39_candidate_000177,0,0.999593198299408
0,41,GSU_obj_41_candidate_000469,1,0.9998514652252197
0,42,GSU_obj_42_candidate_000223,1,0.9999513626098633
1,34,GSU_obj_34_candidate_000062,1,0.9999874830245972
1,35,GSU_obj_35_candidate_000190,0,0.9989383816719055
1,36,GSU_obj_36_candidate_000238,1,0.9997515082359314
2,32,GSU_obj_32_candidate_000362,1,0.9998692274093628
2,33,GSUrepair_obj_33_centerNMS3mm_candidate_000006,1,0.998029887676239
2,93,GSU_obj_93_candidate_000626,1,0.9950483441352844
2,94,GSU_obj_94_candidate_000925,1,0.9989579916000366
3,22,GSU_obj_22_candidate_001424,1,0.9996780157089233
3,60,GSU_obj_60_centerNMS3mm_candidate_003878,1,0.872808039188385
3,84,GSU_obj_84_candidate_001761,1,0.999937891960144
3,95,GSU_obj_95_candidate_000351,1,0.9999886751174927
4,64,GSU_obj_64_candidate_000157,1,0.9991154074668884
4,76,GSU_obj_76_candidate_001927,1,0.9998548030853271
4,77,GSU_obj_77_candidate_000589,1,0.9845799207687378
4,78,GSU_obj_78_candidate_002449,1,0.9991335272789001
